FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e)
FRONT RANGE LANDFILL,1003911,1830 WELD COUNTY ROAD 5,40.026864,-105.018265,ERIE,BOULDER,80516,WASTE CONNECTIONS INC (100%);,168471
Florida River Gas Processing Facility,1003223,2906 CR 307,37.15639,-107.77978,Durango,LA PLATA,81303,BP AMERICA INC (100%);,146526
Fort Lupton Compressor Station,1001977,,40.1434,-104.7515,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,248622
Fort St. Vrain,1001029,16805 WELD CR 19 12,40.2461,-104.8742,PLATTEVILLE,Weld,80651,XCEL ENERGY (100%);,1496872
Fountain Valley Power Plant,1007383,18693 Boca Raton Heights,38.5569,-104.6875,Fountain,El Paso,80817,SOUTHWEST GENERATION OPERATING CO (100%);,184633
Frank Knutson Station,1000061,13501 POWHATEN ROAD,39.9414,-104.6817,COMMERCE CITY,Adams,80022,TRI-STATE GENERATION & TRANSMISSION (100%);,4851
Fredrick Compressor Station,1002206,,40.0573,-104.8852,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,52200
Front Range Power Plant,1001400,6615 GENERATION DRIVE,38.6281,-104.7069,FOUNTAIN,El Paso,80817,COLORADO SPRINGS UTILITIES (100%);,758910
GCC RIO GRANDE INC,1003067,3372 LIME ROAD,38.1507,-104.62595,PUEBLO,PUEBLO,81004,GCC OF AMERICA (100%);,655224
GREELEY GAS PLANT,1006310,3009 WEST 49TH STREET,40.38812,-104.76003,GREELEY,WELD COUNTY,80634,"DCP MIDSTREAM PARTNERS, LP (50%);SPECTRA ENERGY CORP (25%);Phillips 66 (25%);",40696
GRG - EAST MAMM CREEK CS,1003630,,39.4894897,-107.7232517,"RIFLE, 2.0 MI SE OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,28886
GRG - HIGH MESA CS,1006331,,39.395581,-108.0590714,PARACHUTE,Garfield,81635,SUMMIT MIDSTREAM PARTNERS LLC (100%);,26475
GRG - HUNTER MESA CS,1006001,,39.4686107,-107.7153515,"RIFLE, 3.3 MI SE OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,33020
GRG - MAMM CREEK CS,1006003,,39.4894897,-107.7232517,RIFLE,Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,15198
GRG - PUMBA CS,1006004,,39.4649163,-107.7564733,"RIFLE, 3.6 MI S OF",Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,30801
HOLMES MESA CMP STN,1003252,,39.467984,-107.926867,RULISON,Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,44973
Hambert Compressor Station,1011533,18450 Weld County Road 35,40.2696,-104.724297,Gilcrest,WELD,80623,ANADARKO PETROLEUM CORP (100%);,31186
Hayden,1001466,12795 E YUTE,40.4856,-107.185,HAYDEN,Routt,81639,PACIFICORP (17.46%);XCEL ENERGY (52.95%);SALT RIVER PROJECT (29.59%);,3088889
Hayes Gulch Compressor Station,1003014,,39.466732,-108.051398,PARACHUTE,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",25845
Heath Compressor Station,1002936,,39.497639,-107.884743,RIFLE,Garfield,81650,"WILLIAMS PARTNERS, LP (100%);",37520
Holcim (US) Inc. - Portland Plant,1003008,3500 Highway 120,38.386936,-105.039244,Florence,FREMONT,81226,HOLCIM (US) INC (100%);,1052030
Hudson Compressor Station,1002062,,40.2235,-104.7196,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,72094
IGNACIO GAS PLANT,1002532,3746 CR 307,37.144682,-107.784839,DURANGO,LA PLATA,81301,"WILLIAMS PARTNERS, LP (100%);",431640
J.M. Shafer Generating Station,1000559,6811 Weld County Road #31,40.0979,-104.7745,FORT LUPTON,Weld,80621,TRI-STATE GENERATION & TRANSMISSION (100%);,339262
JBS Swift Beef Company - Greeley Plant,1004022,800 North 8th Avenue,40.44278,-104.69233,Greeley,WELD COUNTY,80632,JBS USA LLC (100%);,55183
Jackrabbit Compressor Station,1005036,13064 Garden Gulch Rd.,39.485628,-108.095435,Parachute,GARFIELD,81635,ENTERPRISE PRODUCTS PARTNERS LP (100%);,22232
Jaques CS,1006460,NW SEC 26 T33N R7W,37.095279,-107.71625,Ignacio,LA PLATA,81137,Samson Resources (100%);,0
"KMG Electronic Chemicals,Inc.",1005503,250 William White Boulevard,38.276933,-104.523808,Pueblo,PUEBLO,81001,KMG CHEMICALS INC (100%);,0
Koch Meeker Gas Plant,1010030,929 Penny Dr,39.977742,-107.763621,Meeker,RIO BLANCO COUNTY,81641,KOCH INDUSTRIES INC (100%);,37574
LA PLATA \A\ CMP STN,1005882,3775 COUNTY ROAD 307,37.143579,-107.786771,DURANGO,LA PLATA,81301,ENERGY TRANSFER PARTNERS LP (100%);,34256
LADDER CREEK HELIUM PLANT,1002352,41707 COUNTY ROAD P,39.014999,-102.413156,CHEYENNE WELLS,CHEYENNE,80810,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,32980
LARIMER COUNTY LANDFILL,1005928,5887 SOUTH TAFT HILL ROAD,40.49803,-105.12032,FORT COLLINS,LARIMER COUNTY,80526,LARIMER COUNTY A POLITICAL SUBDIV OF THE STATE OF COLORADO (25%);CITY OF FORT COLLINS COLORADO (50%);CITY OF LOVELAND COLORADO (25%);,142368
LINDE LLC CORTEZ PLANT,1007715,14207  RD G,37.327457,-109.017397,CORTEZ,MONTEZUMA,81321,LINDE GAS NA LLC (100%);,915
LUCERNE GAS PLANT,1002355,31495 COUNTY ROAD 43,40.457201,-104.664686,GREELEY,WELD,80631,"DCP Midstream Partners, LP (100%);",112196
Lamar,1000188,100 N SECOND ST,38.0921,-102.6148,LAMAR,Prowers,81052,Lamar Light and Power (100%);,0
"Leprino Foods, Greeley",1006479,1302 1 st Avenue,40.416952,-104.675853,Greeley,WELD,80631,LEPRINO FOODS INC (100%);,38254
Limon Generating Station,1000060,48303 STATE ROAD 71,39.2038,-103.7005,LIMON,Lincoln,80828,TRI-STATE GENERATION & TRANSMISSION (100%);,20247
MARLA COMPRESSOR STATION,1006309,,40.2767,-104.5475,KERSEY,Weld,80644,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,29246
MESA COUNTY LANDFILL,1006977,3071 COLO HWY 50,39.01261,-108.49194,GRAND JUNCTION,MESA,81503,MESA COUNTY (100%);,80103
MEWBOURN GAS PLANT,1006131,18455 WELD COUNTY RD 35,40.266583,-104.734944,GILCREST,WELD,80623,Phillips 66 (50%);SPECTRA ENERGY (50%);,231256
MONTROSE COUNTY LANDFILL,1007592,67999 LANDFILL RD.,38.52354,-107.82121,MONTROSE,MONTROSE COUNTY,81401,WASTE MANAGEMENT INC (100%);,55670
MVS Compressor Station,1001716,69861 Highway 330E,39.277176,-107.74001,Collbran,MESA,81624,LARAMIE ENERGY LLC (100%);,15500
Manchief Generating Station,1001327,14936 COUNTY ROAD 24,40.2201,-103.679,BRUSH,Morgan,80723,ATLANTIC POWER CORP (100%);,108886
Martin Drake,1001465,700 S CONEJOS ST,38.8244,-104.8331,COLORADO SPRINGS,El Paso,80903,COLORADO SPRINGS UTILITIES (100%);,1650039
McClane Canyon Mining LLC,1008988,3148 HWY 139,39.440006,-108.776274,Loma,MESA,81524,RHINO RESOURCES LP (100%);,0
Mead Compressor Station,1011898,,40.18097,-104.871885,Platteville,Weld,80651,ANADARKO PETROLEUM CORP (100%);,25692
Meeker Compressor Station,1002912,26100 CR 5,39.891773,-108.290437,Rifle,GARFIELD,81650,"ROCKIES EXPRESS HOLDINGS LLC (50%);P66REX LLC (25%);Sempra REX Holdings, LLC (25%);",25961
Meeker Gas Plant,1004822,27991 County Rd 5,39.910727,-108.294316,Rifle,GARFIELD,81650,ENTERPRISE PRODUCTS PARTNERS LP (100%);,364213
Midway Landfill,1007863,8925 Rancho Colorado Boulevard,38.547492,-104.661847,Fountain,PUEBLO,80817,WASTE MANAGEMENT INC (100%);,116742
NORTH WELD SANITARY LANDFILL,1007880,40000 WELD COUNTY RD 25,40.58156,-104.8318,AULT,WELD,80610,WASTE MANAGEMENT INC (100%);,138303
Natural Soda,1010576,3200 CR31,39.886477,-108.332665,Rifle,RIO BLANCO COUNTY,81650,NATURAL SODA (100%);,50797
Nucla,1007676,30739 DD 30 ROAD,38.2387,-108.5083,NUCLA,Montrose,81424,TRI-STATE GENERATION & TRANSMISSION (100%);,543775
O'Connor Gas Plant,1010119,,40.352206,-104.587772,LaSalle,Weld,80645,"DCP MIDSTREAM PARTNERS, LP (100%);",89507
OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,1001975,11133 Eastman Park Drive,40.461452,-104.849165,Windsor,WELD COUNTY,80550,OWENS-ILLINOIS INC (100%);,92157
Outlaw Compressor Station,1001947,,37.1745,-107.7786,DURANGO,La Plata,81303,KINDER MORGAN (49%);SOUTHERN UTE INDIAN TRIBE (51%);,8230
"Oxbow Mining, LLC",1009623,3737 Highway 133,38.926289,-107.470007,Somerset,GUNNISON COUNTY,81434,GUNNISON ENERGY CORP (25%);VCG ELK CREEK NO1 LLC (50%);OXBOW CARBON & MINERALS HOLDINGS INC (25%);,34758
PIONEER NAT RES - BURRO CANYON CS,1002533,,37.15515,-104.66506,COKEDALE 2.3 MI. W OF,Las Animas,81082,PIONEER NATURAL RESOURCES USA INC (100%);,31704
PIONEER NAT RES - TAMBURELLI CS,1002535,,37.2532,-104.657,"COKEDALE, 7.7 MI N OF",Las Animas,81082,PIONEER NATURAL RESOURCES USA INC (100%);,36914
PIONEER NAT RESOURCES - COTTONTAIL PASS,1006559,,37.21847,-104.7824,COKEDALE,Las Animas,81082,PIONEER NATURAL RESOURCES USA INC (100%);,43278
PIONEER NAT RESOURCES - WET CANYON CS,1002534,,37.1519,-104.85782,COKEDALE,Las Animas,81082,PIONEER NATURAL RESOURCES USA INC (100%);,40768
"PIONEER NATURAL RESOURCES, USA - RITA CA",1002536,SEC 12 T34S R66W,37.09901,-104.729713,"COKEDALE, 6.5 MI SW OF",LAS ANIMAS,81082,"Pioneer Natural Resources USA, Inc. (100%);",0
PLAINS END Generating Station,1003138,8950 HIGHWAY 93,39.872093,-105.240616,Arvada,JEFFERSON,80007,"Polaris Plains End Financing, LLC (100%);",23662
PLATTEVILLE GAS PLANT,1005678,13675 WELD COUNTY ROAD 34,40.232045,-104.798221,PLATTEVILLE,WELD,80651,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,51075
PUBLIC SERVICE CO DENVER STEAM PLT,1002817,1875 DELGANY STREET (19TH AND DELGANY),39.75583,-104.99924,DENVER,DENVER,80202,XCEL ENERGY (100%);,61068
Pawnee,1001048,14940 County Road 24,40.2217,-103.6803,Brush,Morgan,80723,XCEL ENERGY (100%);,4119009
Plateville Compressor Station,1006880,,40.2235,-104.7196,Brighton,Weld,80601,ANADARKO PETROLEUM CORP (100%);,49462
Public Service Company of Colorado,1002895,1800 Larimer Street,39.75125,-104.99457,Denver,DENVER COUNTY,80202,XCEL ENERGY (100%);,206534
Pueblo Airport Generating Station,1000558,400 N 27th Lane,38.322,-104.533,Pueblo,Pueblo,81001,BLACK HILLS CORP (100%);,541700
Pump Canyon Compreesor Station,1011983,,37.045517,-107.679114,Durango,La Plata,81301,,27506
RIFLE CMP STN,1006929,,39.531599,-107.829371,RIFLE,Garfield,81650,SUMMIT MIDSTREAM PARTNERS LLC (100%);,29885
ROCKY MOUNTAIN BOTTLE COMPANY,1003465,10619 W 50TH AVE,39.78741,-105.11498,WHEAT RIDGE,JEFFERSON COUNTY,80033,OWENS-ILLINOIS INC (50%);MILLERCOORS LLC (50%);,86973
ROGGEN GAS PLANT,1002031,35409 WELD COUNTY ROAD 18,40.117556,-104.387444,ROGGEN,WELD,80652,Phillips 66 (50%);SPECTRA ENERGY CORP (50%);,45028
Rabbit Brush Compressor Station,1002946,,39.478517,-108.021664,Parachute,Garfield,81635,"WILLIAMS PARTNERS, LP (100%);",24299
Rangely Gas Plant,1009244,100 Chevron Road,40.1064831,-108.8670246,Rangely,,81648,RONALD D UFFORD (0.000335%);JOHN P INDELLI (0.000202%);MARILYN HACKING (0.000453%);ANDREA L WETENKAMP (0.000009%);WILLIAM DIRK NEVIN (0.000614%);DLW INC (0.248093%);T GORDON MAHAN EST (0.000307%);FREDERICK J STRAUSS (0.000218%);SCOTT D CAMERON TRUST (0.248094%);REED H MERKLEY JR (0.000009%);ARP RANGELY PRODUCTION LLC (25.24566%);JULIA TIFFANY WELD (0.000322%);ALDINE TARTER (0.000435%);BETTY NEVADA OMOHUNDRO (0.001262%);RAYZOR OIL & GAS LTD (0.001232%);SALLY WELD LURIE (0.000013%);OBO INC (0.008161%);LORETTA ZULLO (0.000814%);MICHAEL S MCLAUGHLIN EXEMPT TRUST (0.010014%);PAUL R BAKER (0.000326%);WHITING OIL & GAS CORP (4.613916%);DONALD BRUCE UFFORD (0.000335%);RICHARD WELD JOHNSON (0.000013%);BYRON A & JOSEPHINE D LINDEN (0.001502%);NORTH AMERICAN PROPERTIES MANAGEMENT (0.001001%);DARLENE PARKIN HOUSTON (0.000421%);EUGENE BOHN (0.000325%);CECIL ANNE RUNGE (0.029912%);SIDNEY CALDER (0.000158%);JAMES A TAYLOR (0.000421%);SUSAN ADAMS (0.009467%);RICHARD C WORTLEY (0.000421%);ALICE M PENKO (0.000421%);DAVID WELD STEPHEN DUGGAN (0.000161%);RAVEN AGENCY TRUST (0.577066%);COMFORT TIFFANY OCONNOR (0.000048%);LAWRENCE SIDENER (0.000155%);F GERALDINE REESE (0.000097%);ALVIN B BAKER (0.000326%);LOYAL & CLEO L WHITE SURVIVOR'S TRUST (0.000532%);ROCKY MOUNTAIN PROPERTIES (0.004262%);RICHARD D KING & MONICA M KING (0.000145%);MCLAUGHLIN FAMILY LLP (0.038443%);CHRISTOPHER TASHLIN (0.000816%);CHEVRON CORP (68.069512%);DARWIN HILL LEAVITT II (0.000039%);EDWIN L DAVENPORT (0.000531%);BRUCE ULRICH & TERESA ULRICH (0.001689%);JEAN SNYDE FINK (0.000631%);SALLY L PRINSTER (0.009468%);CHARLES HOWARD REV PROP TRUST (0.000816%);KATHRYN ARAGON (0.000218%);MARJORY WELD JOHNSON (0.000013%);JAMES F REED (0.059822%);DOROTHY S ANDERSON (0.000454%);LEOLLA M WOMBLE (0.000421%);DONALD S WORTLEY (0.000421%);JOHN HOWARD (0.000816%);AUDATHEO L MILLER (0.001502%);PORTLAW OIL LLC (0.108719%);CAMERON FAM TRUST FBO (0.124047%);JOANNE R MUMMERT (0.029912%);PIPER PETROLEUM CO (0.013057%);CLEAR CREEK ROYALTY & LAND LTD (0.000645%);MICHAEL S MCLAUGHLIN LVG TRUST (0.041278%);MAITLAND CORP (0.000322%);SANDRA J PFEIFFER (0.000258%);FRANCES JEAN BREWER (0.005669%);CYNTHIA L ZULLO (0.000814%);OUIDA C WHITE (0.000532%);DONALD REESE (0.000258%);MINNIE MOORE TURPIN (0.000986%);L PAUL HERRICK REV TRUST (0.000789%);CARTER FAMILY TRUST (0.000158%);PRESCIENT ENTERPRISES LLC (0.021743%);SUGARBERRY OIL & GAS CORP (0.000645%);FRANCIS R AUSTIN (0.000039%);LELAND E STEVENSON JR (0.001351%);CC SECURITIES (DE) LLC (0.124047%);JESSIE SHERMAN (0.000064%);LORETTA ZULLO (0.000814%);BLISS REVOCABLE FAMILY TRUST (0.001262%);WILLIAM R SIDDOWAY (0.001351%);NANCY CAMERON (0.032616%);EILEEN KAPONA (0.000217%);ALFRED MATTHEW WELD (0.000008%);HAZEL M LINDL TRUST (0.001402%);BEVERLY S MERKLEY (0.000454%);MARY WEAVER (0.000048%);AUBREY D HUTCHESON (0.000107%);WILLIAM A JACKSON (0.000451%);VERNAL WHITE (0.000532%);LISA MCGINTY (0.032616%);ROBERT E BROWN ASST MGT TRUST (0.001046%);BARBARA C CATTS (0.000158%);FRANCIS MINOT WELD JR (0.000185%);NEWTON OIL CO (0.007232%);DORIANNE GUERNSEY (0.000218%);ME OIL CO (0.248094%);REED BARRETT (0.003225%);MARK R SIDENER (0.000155%);,16343
Rawhide Energy Station,1001062,2700 East County Road 82,40.8611,-105.0206,Wellington,Larimer,80549,PLATTE RIVER POWER AUTHORITY (100%);,1881593
Ray D Nixon,1001195,6598 RAY NIXON RD,38.6306,-104.7056,FOUNTAIN,El Paso,80817,COLORADO SPRINGS UTILITIES (100%);,1555747
Rocky Mountain Energy Center,1000271,6211 WELD COUNTY RD 51,40.0911,-104.5947,KEENESBURG,Weld,80643,XCEL ENERGY (100%);,827192
